controller,pkg_controller,pkg_domain,pkg_repository,repository,architecture,pkg_infrastructure,service,repo_name,pkg_service,configuration,pkg_usecase,pkg_application,component,total_java_files
0,32,48,30,3,clean,85,16,nequi_techlead_technical_test_ms,15,8,26,4,10,137
3,9,36,7,2,clean,21,5,next-spring-notes,,3,,10,1,69
7,7,,5,1,clean,,4,notesapp-backend,4,3,,2,3,34
4,6,,3,3,clean,,3,One2one-Entity-Rest,6,0,,1,1,25
0,,,,0,clean,,0,OpenBootcampBackendRoad,,0,,4,0,102
0,,18,,0,clean,,0,order-processing-system,,0,,,0,18
0,,2,,0,clean,,0,order-service,6,0,,2,0,6
3,1,114,22,6,clean,20,5,ordering-system,149,17,,55,45,191
30,29,204,25,0,clean,43,54,panis-boot,51,8,,1,10,433
4,3,,3,3,clean,,3,Patent-Manager-Spring-Boot-Application,3,1,,28,0,28
2,2,,2,0,clean,,2,Patient-Appointment-Management-System,2,0,,2,0,14
3,2,3,3,3,clean,,4,payment-api,5,2,,1,2,29
1,1,7,,0,clean,3,4,pedido-assincrono,17,3,,5,2,17
9,9,28,8,0,clean,29,11,pet-care-api,18,4,,39,8,95
3,2,6,3,2,clean,,3,petshop-application,4,1,,22,0,22
2,1,25,7,0,clean,9,9,petshop-scheduler-chatbot,15,0,19,37,1,88
3,4,,9,0,clean,,4,picpay-challenge,4,3,4,2,0,44
3,2,2,4,2,clean,,0,picpay-simplified-challenge,4,1,14,2,4,48
3,2,,3,0,clean,,2,Pismo_Capstone_Project,4,0,,2,0,23
4,5,,3,0,clean,,3,Pismo_Transaction_Service,31,1,,2,0,31
1,2,26,11,0,clean,22,0,planetae-timetracker,4,1,34,67,0,114
5,69,67,37,4,clean,,16,planogram-nomenclature,,2,49,,0,211
2,2,,4,1,clean,13,0,PlateLocationFinder,1,1,6,2,0,21
3,3,141,2,0,clean,28,2,poc-clean-architecture,,4,25,37,1,206
2,2,16,2,0,clean,,3,poc-clean-architecture-spring,3,0,14,2,3,34
2,2,2,3,1,clean,3,0,practica_uno_clean_architecture,1,2,5,8,0,18
2,8,4,9,0,clean,,2,price-manager,3,2,2,9,2,26
2,9,2,8,0,clean,,2,price-manager-web-back,3,2,2,8,2,24
1,1,6,6,4,clean,15,7,process-orders,6,6,,8,3,30
1,1,,1,0,clean,,1,product-api,2,0,,2,0,7
2,2,7,2,1,clean,3,1,product-management-backend,3,2,,5,2,26
2,7,15,12,0,clean,,2,product-manager,10,3,2,20,3,39
1,1,,1,0,clean,,1,ProductCategory,2,0,,2,0,8
4,3,,3,3,clean,,3,ProductList-using-springboot,3,1,,2,2,28
1,1,,,0,clean,,0,products-api,,0,,2,0,3
4,4,29,3,0,clean,43,0,project-spring-boot,,5,47,62,4,134
2,2,,3,0,clean,,2,project_management_springboot,2,0,,2,0,14
4,3,,5,1,clean,,8,Projeto-Estacionamento,14,4,,3,5,72
2,1,6,1,0,clean,,0,quasar-fire-operation,,1,3,2,4,24
1,1,,1,1,clean,,2,Reactive-Programming-Spring-Boot-Backend,4,1,,2,0,14
7,5,,3,0,clean,,6,ReadingIsGood,7,2,,3,4,55
21,22,23,21,0,clean,,72,real-hope-code-generation,62,1,113,112,4,215
0,,,,0,clean,,0,reboot,,0,,2,0,2
2,2,,4,1,clean,,1,record-shop-api-v2,3,2,,2,0,22
4,3,,3,2,clean,,4,rent-read-library-app,7,1,,2,2,35
2,2,,8,0,clean,,4,repsy-server,5,0,,1,0,11
1,1,5,3,2,clean,6,0,restaurant-management-system,,0,1,6,1,19
3,1,107,24,8,clean,20,8,restaurant-microservice,188,17,,48,43,188
3,1,30,6,3,clean,18,1,restaurant-ordering-system,33,8,,16,9,69
5,11,6,13,0,clean,,0,RestaurantManagement,,5,11,2,0,97
1,1,,,0,clean,,1,RestGen-Ai,1,0,,2,0,5
3,3,,3,0,clean,,0,saas,3,1,,2,2,23
2,2,5,2,0,clean,2,2,Safe-Card-Application,2,1,,15,0,15
3,3,,,3,clean,,2,sales-clean-architecture,,0,,2,8,54
6,8,19,,4,clean,,11,sales-system-api,12,2,6,12,4,55
3,2,6,5,1,clean,,0,sboot-clean-arch-example,4,1,,7,0,19
2,1,5,2,2,clean,6,1,scaffolding-java-spring-boot,2,2,2,6,0,19
2,2,,2,2,clean,,5,Scheduler-Telegram-Bot,5,1,,2,26,54
6,6,1,2,0,clean,10,1,sda_clean_example,1,1,7,2,1,30
3,3,3,3,1,clean,,3,secure-auth-api,1,2,2,4,1,20
3,1,35,21,2,clean,42,1,secure-login-clean-architecture,10,8,22,5,7,82
1,1,,,1,clean,,1,Secure-User-Login-Registration-Spring-Boot-JSP-,1,0,,2,0,6
1,1,3,1,0,clean,,0,Send-Message-Kafka,2,1,2,9,4,30
1,1,,,0,clean,,3,SendMailer,2,1,,3,0,11
5,5,,9,4,clean,,3,Shipping-System,6,0,,2,2,44
3,4,28,5,1,clean,7,3,shop-microservice-spring-boot,46,0,10,2,1,46
6,6,,8,8,clean,,7,ShopEase,17,4,,2,4,84
9,18,,11,10,clean,,8,ShringShop,16,2,,1,2,120
3,3,,3,0,clean,,3,simple-todo-app,3,0,,2,3,17
3,3,7,4,0,clean,41,12,simplepay-clean-architecture,12,2,25,25,4,97
2,2,4,3,1,clean,,2,simplified-authenticator-spring,2,1,3,8,5,27
5,5,25,5,0,clean,,5,Simulacion_parque_salitre_magico,10,0,,17,5,47
0,3,5,,0,clean,,0,single-cards,,0,,2,5,33
4,,6,4,4,clean,,4,Sistema_HelpDesk_API_Backend,6,2,,2,0,30
15,15,,11,5,clean,,12,SocialMediaPlatform-SpringBoot,23,2,,2,4,78
3,3,,6,2,clean,,0,socialnetwork-coding-dojo,4,1,5,2,0,29
3,4,3,4,1,clean,22,5,solid-cqrs-clean-architecture,,2,10,16,2,41
4,6,18,4,3,clean,,3,sp-clean-architecture,2,4,5,2,4,45
2,2,4,3,0,clean,,9,sp-clean-architecture-todos,,0,14,2,0,40
2,5,1,2,0,clean,9,0,spring-auth-module,2,3,4,7,1,29
1,1,,1,1,clean,,0,Spring-Boot-Application-REST-API,,0,,7,0,7
2,1,13,3,1,clean,,0,spring-boot-base-template,4,2,,7,0,23
0,,1,1,0,clean,,0,spring-boot-clean-arch,,0,,4,0,6
1,4,1,2,0,clean,,0,spring-boot-clean-arch-app,,1,1,4,0,14
29,27,7,10,0,clean,84,26,spring-boot-clean-architecture,8,2,36,4,30,216
1,1,8,1,1,clean,7,0,spring-boot-clean-architecture-,1,1,1,6,2,21
6,5,,2,2,clean,23,5,spring-boot-clean-architecture-auth,,0,8,2,5,40
6,6,18,1,0,clean,6,0,Spring-Boot-Clean-Architecture-Boilerplate,,2,13,2,0,51
2,6,4,3,1,clean,8,2,spring-boot-clean-architecture-demo,,0,,1,0,17
0,,24,,0,clean,,1,spring-boot-clean-architecture-kafka-domain-driven-desing,10,0,,10,4,24
1,1,1,1,0,clean,,0,spring-boot-clean-architecture-main,1,0,1,7,4,17
