architecture,pkg_repository,max_package_depth,class_service,import_data,controller,springboot_app,class_repository,import_web,pkg_domain,total_java_files,configuration,pkg_infrastructure,pkg_usecase,import_stereotype,pkg_service,has_app_config,repo_name,repository,service,import_jpa,pkg_controller,class_config,import_boot,pkg_application,component,class_controller
clean,6,11,4,15,5,1,2,12,4,77,13,39,,15,77,,java-service-template-clean-architecture,3,0,0,14,10,8,2,11,8
clean,1,14,2,1,1,1,,1,4,20,1,,,4,3,1,java-spring-boot,0,2,5,1,1,3,14,2,1
clean,9,11,3,18,1,1,3,5,4,49,5,9,4,5,4,1,java-spring-clean-ddd-template,0,1,0,,5,4,10,4,
clean,1,7,,0,0,1,,0,1,4,0,,,0,,1,java-spring-simple-blog,0,0,0,,,3,2,0,
clean,1,9,2,3,1,1,,7,3,17,1,,1,0,17,1,java-spring3-microservice,0,0,0,2,2,7,5,1,2
clean,1,9,2,7,1,1,,7,3,17,1,,1,0,17,1,java-spring3-microservice-mongo,0,0,0,2,2,7,5,1,2
clean,,8,,0,0,1,,0,,2,0,,,0,,1,java-springboot-clean-arch,0,0,0,,,3,2,0,
clean,,16,2,0,3,1,,9,2,18,2,,,0,18,1,java-springboot-reactive-hexagonal-monomodule-template,0,0,0,7,6,12,2,0,6
clean,,6,,0,0,0,,0,,10,0,,,0,,,java10x,0,0,0,,,0,,0,
clean,2,11,1,3,1,1,,1,5,59,2,,7,2,1,1,javaspring-clean-architect,2,0,10,2,4,4,2,0,2
